latitude,longitude,previousSpeed,speed,gpsSpeed,speedLimit,accX,accY,accZ,Anticipation,drivingSkill,selfConfidence,drivingScore,drivingStyle,driverState,createdAt,braking,acceleration,cornering,,,,
0,0,1,5.384723854,5.385,0,-1,-0.89312106,8.104191,5.9213386,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,1,5.384723854,5.385,0,-1,6.146563,10.47847,7.023533,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,1,5.384723854,5.385,0,-1,0.7073782,5.5660048,2.5666013,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,1,5.384723854,5.385,0,-1,-2.5002005,9.706186,4.091727,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,-100,5.384723854,5.385,0,-1,-2.9856443,6.128019,5.9264235,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,1,5.384723854,6.593,0,-1,3.2934213,10.460822,9.350553,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.012
0,0,-100,6.592734575,6.593,0,-1,-1.0815558,8.268997,4.721936,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.592734575,6.593,0,-1,-0.13549358,7.442875,6.30419,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.592734575,6.593,0,-1,-0.39750767,7.8726854,6.309873,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.592734575,6.593,0,-1,1.6151553,9.693026,4.2634115,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.592734575,6.593,0,-1,3.7630126,11.132308,5.506782,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.592734575,6.593,0,-1,2.5830522,10.273883,5.316852,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
0,0,1,6.592734575,6.593,0,-1,-7.7943206,11.596815,3.4229329,-1,-1,-1,-1,0,0,2.02402E+16,29-02-2024 11:05,0,0,0,0,0.017
